block_id,Ward_Code,ward,area_m2,area_ha,target_m2,deviation_pct,status,building_count
W06-B158,W06,Ward 6,30005.15575171787,3.000515575171787,10000,200.0515575171787,above_preferred,7
W06-B159,W06,Ward 6,29986.966753272005,2.9986966753272006,10000,199.86966753272006,above_preferred,0
W06-B160,W06,Ward 6,29986.966753272005,2.9986966753272006,10000,199.86966753272006,above_preferred,5
W06-B161,W06,Ward 6,29986.966753272005,2.9986966753272006,10000,199.86966753272006,above_preferred,5
W06-B162,W06,Ward 6,29899.01792810905,2.989901792810905,10000,198.99017928109052,above_preferred,27
W06-B163,W06,Ward 6,29823.9770371463,2.98239770371463,10000,198.23977037146298,above_preferred,7
W06-B164,W06,Ward 6,29823.9770371463,2.98239770371463,10000,198.23977037146298,above_preferred,4
W06-B165,W06,Ward 6,29823.977037121935,2.9823977037121936,10000,198.23977037121935,above_preferred,4
W06-B166,W06,Ward 6,29823.977037121935,2.9823977037121936,10000,198.23977037121935,above_preferred,0
W06-B167,W06,Ward 6,29752.309535452052,2.9752309535452053,10000,197.52309535452054,above_preferred,23
W06-B168,W06,Ward 6,29705.104194217478,2.970510419421748,10000,197.0510419421748,above_preferred,12
W06-B169,W06,Ward 6,29636.738955846533,2.963673895584653,10000,196.3673895584653,above_preferred,6
W06-B170,W06,Ward 6,29625.4045177888,2.96254045177888,10000,196.25404517788797,above_preferred,21
W06-B171,W06,Ward 6,29587.95460341743,2.9587954603417432,10000,195.87954603417433,above_preferred,3
W06-B172,W06,Ward 6,29525.737266763674,2.952573726676367,10000,195.25737266763673,above_preferred,9
W06-B173,W06,Ward 6,29324.788008758394,2.9324788008758396,10000,193.24788008758395,above_preferred,17
W06-B174,W06,Ward 6,29279.89591377373,2.927989591377373,10000,192.7989591377373,above_preferred,10
W06-B175,W06,Ward 6,29265.35959549444,2.926535959549444,10000,192.65359595494436,above_preferred,47
W06-B176,W06,Ward 6,29181.09967078821,2.9181099670788213,10000,191.81099670788214,above_preferred,10
W06-B177,W06,Ward 6,28802.330703273707,2.8802330703273706,10000,188.02330703273705,above_preferred,18
W06-B178,W06,Ward 6,28797.64865567354,2.879764865567354,10000,187.9764865567354,above_preferred,55
W06-B179,W06,Ward 6,28724.12466183953,2.872412466183953,10000,187.2412466183953,above_preferred,15
W06-B180,W06,Ward 6,28601.165589570574,2.860116558957057,10000,186.01165589570573,above_preferred,5
