full_id,osm_id,osm_type,building,reg_id,ownership,addr:subdistrict,addr:district,addr:county,military,official_name,tower:type,healthcare,generator:source,trade,nurses_num,electricity,doctors_num,operator_name,emergency,dispensing,bed_count,product,industrial,operational_status,drinking_water,shop,layer,power,public_transport,tourism,denomination,pump,man_made,waste,construction,service_times,religion,capacity,toilets:handwashing,toilets:disposal,toilets:access,fee,phone,operator,opening_hours,brand:wikidata,brand,addr:state,description,amenity,office,name,addr:street,type,building:material,building:levels,addr:city,Building_Code,Ward_Code,Block_Code,Building_Area_m2,Building_Source,AI_Confidence,Boundary_Flag
w310788100,310788100,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B145-BLD0001,W07,W07-B145,57.798255844068365,OSM existing,,False
w310788101,310788101,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B132-BLD0007,W07,W07-B132,92.61054392985557,OSM existing,,True
w310788102,310788102,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B132-BLD0008,W07,W07-B132,69.29905323281488,OSM existing,,False
w310788103,310788103,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B132-BLD0009,W07,W07-B132,108.76871515441587,OSM existing,,False
w310788104,310788104,way,commercial;residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B132-BLD0010,W07,W07-B132,123.51946725000018,OSM existing,,False
w310788105,310788105,way,commercial;residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B132-BLD0011,W07,W07-B132,114.20849603461878,OSM existing,,False
w310788144,310788144,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B100-BLD0002,W07,W07-B100,69.40635153679462,OSM existing,,False
w310788145,310788145,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B086-BLD0002,W07,W07-B086,182.9980836972057,OSM existing,,False
w310788146,310788146,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B086-BLD0003,W07,W07-B086,210.8295781447374,OSM existing,,False
w310788147,310788147,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B086-BLD0004,W07,W07-B086,209.90962549565268,OSM existing,,False
w310788148,310788148,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B086-BLD0005,W07,W07-B086,202.43931156655395,OSM existing,,False
w310788149,310788149,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B086-BLD0006,W07,W07-B086,211.27056147673082,OSM existing,,True
w310788150,310788150,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B123-BLD0001,W07,W07-B123,232.85443821764625,OSM existing,,True
w310788151,310788151,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B086-BLD0007,W07,W07-B086,74.49693680920637,OSM existing,,False
w310788153,310788153,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B100-BLD0003,W07,W07-B100,80.76807752864482,OSM existing,,False
w310788155,310788155,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W07-B068-BLD0004,W07,W07-B068,24.74389360774574,OSM existing,,False
w310788157,310788157,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B012-BLD0001,W07,W07-B012,61.411202964383186,OSM existing,,False
w310788158,310788158,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B012-BLD0002,W07,W07-B012,85.56538182050163,OSM existing,,False
w310788159,310788159,way,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B068-BLD0005,W07,W07-B068,215.09256048322834,OSM existing,,False
w310788160,310788160,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B026-BLD0002,W07,W07-B026,90.35536817366696,OSM existing,,False
w310788162,310788162,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B139-BLD0001,W07,W07-B139,495.1686857173878,OSM existing,,True
w310788166,310788166,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B139-BLD0002,W07,W07-B139,152.0390862075991,OSM existing,,False
w310788167,310788167,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B139-BLD0003,W07,W07-B139,225.2073387752462,OSM existing,,False
w310788168,310788168,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B026-BLD0003,W07,W07-B026,135.6512270446541,OSM existing,,False
w310788170,310788170,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B026-BLD0004,W07,W07-B026,213.041460205155,OSM existing,,False
w310788171,310788171,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B026-BLD0005,W07,W07-B026,80.95654694512483,OSM existing,,False
w310788172,310788172,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W07-B026-BLD0006,W07,W07-B026,127.97465959116695,OSM existing,,False
